8,"Basketball Diaries","Revenge","Scott Kalvert","Island (Based on Jim Carroll&#39;s autobiography)",1995,20001221,20051216,"textfiles/BasketballDiaries/Revenge_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/bb_diaries.rm","YES","bb_diaries/bb_diaries1.jpg","bb_diaries/bb_diaries",18
9,"Heathers","Lover's Quarrel","Micheal Lehman","New World Pictures",1989,20001221,20020520,"textfiles/Heathers/LoversQuarrel_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","heathers.rm?title=""Heathers""&author=""Micheal%20Lehman""","YES","heathers_1/heathers15.jpg","heathers_1/heathers",18
3220,"Painted Babies","4 Year-olds&#39; Beauty Pageant","","",,20021002,20021002,"textfiles/PaintedBabies/4Yearolds39BeautyPageant_Desc1.txt",,,"","","","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","","NO ","","",0
1860,"Drop Dead Gorgeous","","Michael Patrick Jann","Capella / KC Medien",1999,20020806,20030221,,,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","DropDeadG.rm","YES","dropdeadg/ddg_3.jpg","dropdeadg/ddg_",6
10,"Columbine Footage","Early Coverage","CNN","",1999,20001221,20021108,"textfiles/ColumbineFootage/EarlyCoverage_Desc1.txt","textfiles/ColumbineFootage/EarlyCoverage_Quest1.txt",,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","cnn_columbine_one.rm?title=""Columbine%20Footage""&author=""CNN""","YES","columbine_1/cnn_columbine_one7.jpg","columbine_1/cnn_columbine_one",16
11,"If....","School Shooting","Lindsay Anderson","Memorial Entertainment / Paramount",1968,20001221,20021115,"textfiles/If/SchoolShooting_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","english_school.rm?title=""If""&author=""Lindsay%20Anderson""&copyright="" ""","YES","if_1/english_school1.jpg","if_1/english_school",17
12,"Columbine Footage","The Day After","CNN",,1999,20001221,20020520,"textfiles/ColumbineFootage/TheDayAfter_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","cnn_columbine_two.rm?title=""Columbine%20Footage""&author=""CNN""","YES","columbine_2/cnn_columbine_two3.jpg","columbine_2/cnn_columbine_two",17
13,"Tetsuo: The Iron Man","Cyborgs","Shinya Tsukamoto","Original Cinema",1992,20010105,20020520,"textfiles/TetsuoTheIronMan/Cyborgs_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tetsuo1_1.rm","YES","tetsuo1/tetsuo1_1_12.jpg","tetsuo1/tetsuo1_1_",15
14,"Tetsuo: The Iron Man","Cyborgs Part 2","Shinya Tsukamoto","Original Cinema",1992,20010105,20020520,"textfiles/TetsuoTheIronMan/CyborgsPart2_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tetsuo1_2.rm","YES","tetsuo1_2/tetsuo1_2_12.jpg","tetsuo1_2/tetsuo1_2_",18
15,"Tetsuo II: Body Hammer","Body Weapon","Shinya Tsukamoto","ICA Projects",1992,20010105,20030221,"textfiles/TetsuoIIBodyHammer/Bodyweapon_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tetsuo2_1.rm","YES","tetsuo2/tetsuo2_1_2.jpg","tetsuo2/tetsuo2_1_",13
