1,1860,"http://www.allmovies.com","allmovies.com"
2,4,"http://www.filmsite.org/mode.html",
3,5,"http://poll.imdb.com/Title?0062622",""
4,6,"http://www.uow.edu.au/~morgan/Metroa.html",
5,7,"http://www.filmsite.org/drst.html",
6,8,"http://poll.imdb.com/Title?0112461",""
7,9,"http://poll.imdb.com/Title?0097493",
8,17,"http://poll.imdb.com/Plot?0103064",""
9,27,"http://us.imdb.com/Title?0084805",
10,30,"http://www.thelmaandlouise.com",
11,40,"http://us.imdb.com/Title?0032976",
12,41,"http://us.imdb.com/Title?0171804",""
13,52,"http://us.imdb.com/Title?0055464",""
14,63,"www.publicenemy.com",
15,72,"http://us.imdb.com/Title?0141098",
16,76,"www.starwars.com",""
17,76,"www.theforce.net",""
18,3,"http://poll.imdb.com/Plot?0088247",
19,117,"http://poll.imdb.com/Plot?0088247",""
20,117,"http://www.testing.com",""
21,196,"http://www.believemedia.com/c_directors.html","Visit the Belive Media site to view two Brothers Quay commercials. (Click on "
22,220,"http://www.salon.com/ent/movies/review/2001/07/27/ghost_world/index.html","Review"
23,3,"http://www.filmsite.org/mode.html",
24,129,"http://ccnmtl.columbia.edu","CCNMTL"
81,3040,"http://acg.media.mit.edu","go to Aesthetics+Computation Group website "
101,3060,"http://acg.media.mit.edu/","View Website"
121,3081,"http://acg.media.mit.edu",""
122,3082,"http://acg.media.mit.edu/","Aesthetics+Computation Group"
141,3100,"http://acg.media.mit.edu","Aesthetics+Computation Group"
161,3120,"http://acg.media.mit.edu","Aesthetics+Computation Group"
181,3140,"http://acg.media.mit.edu","Aesthetics+Computation Group"
201,3160,"http://acg.media.mit.edu","Aesthetics+Computation Group"
221,3180,"http://acg.media.mit.edu","Aestheitcs+Computation Group"
301,3300,"http://www.geocities.com/SoHo/Exhibit/9929/index.html","Exa dega - the art page"
321,3340,"http://acg.media.mit.edu/",""
341,3360,"www.eminem.com","official website"
361,3400,"http://www.skthoth.com/SKTHOTH/Home_Pagex.html",""
381,3440,"www.asondheim.org",""
401,3460,"http://www.junk.com","Junk"
461,3500,"www.eminem.com",""
481,3800,"www.playmore.com",""
